# RA DEC XI ETA F475W F814W V VERR
11.069 41.116 0.289 -0.153 22.736 21.186 -106.7 7.577 
10.996 41.135 0.234 -0.133 21.595 20.49 -289.208 3.029 
11.032 41.153 0.262 -0.116 20.919 19.625 -46.061 2.95 
11.038 41.199 0.265 -0.069 21.882 20.892 -369.529 9.484 
11.043 41.219 0.269 -0.05 22.591 22.593 -196.728 89.564 
11.105 41.251 0.316 -0.017 21.737 20.351 -22.726 3.745 
11.153 41.278 0.352 0.01 20.76 19.539 -126.44 4.974 
11.116 41.296 0.324 0.028 22.534 22.017 -324.266 -299800.0 
11.122 41.322 0.329 0.053 22.912 21.828 -304.373 14.661 
11.202 41.332 0.389 0.064 21.31 20.212 -522.316 10.344 
11.13 41.334 0.335 0.065 18.537 18.454 -233.481 3.148 
11.137 41.338 0.34 0.07 22.049 21.202 -238.088 10.182 
11.196 41.341 0.384 0.073 20.557 19.973 -291.819 3.652 
11.148 41.345 0.348 0.076 18.742 17.961 -239.889 0.755 
11.185 41.347 0.376 0.078 22.172 22.115 -157.158 11.795 
11.123 41.263 0.33 -0.005 21.443 21.481 -232.831 13.787 
11.086 41.269 0.302 0.001 22.388 20.969 -257.2 3.437 
11.09 41.274 0.305 0.005 22.376 22.254 -218.743 6.347 
11.063 41.277 0.285 0.008 22.505 22.326 -71.09 21.267 
11.158 41.283 0.356 0.014 22.702 21.933 -244.039 14.128 
11.08 41.292 0.297 0.023 20.855 20.849 -86.124 9.401 
11.089 41.294 0.304 0.025 19.113 17.864 -284.108 0.569 
11.095 41.297 0.308 0.028 22.743 21.339 -251.673 7.355 
11.097 41.297 0.31 0.028 22.01 20.73 -244.006 4.083 
11.086 41.297 0.301 0.029 18.794 18.314 -268.241 2.367 
11.168 41.306 0.363 0.038 20.931 19.913 -227.63 1.779 
11.107 41.308 0.317 0.04 21.915 21.759 -341.39 17.853 
11.098 41.308 0.311 0.04 21.21 20.799 -286.713 10.756 
11.124 41.308 0.33 0.04 21.406 20.963 -250.143 4.027 
11.166 41.308 0.362 0.04 22.807 22.199 -282.293 11.43 
11.204 41.309 0.39 0.04 20.495 19.716 65.835 1.944 
11.104 41.312 0.315 0.043 21.995 21.716 -290.231 15.038 
11.112 41.319 0.321 0.051 20.059 19.812 -252.433 2.47 
11.132 41.322 0.336 0.054 20.844 20.649 -210.451 10.266 
11.123 41.323 0.329 0.055 22.001 21.834 -235.775 -299800.0 
11.157 41.328 0.355 0.06 20.964 20.668 -267.034 23.232 
11.16 41.335 0.357 0.067 22.049 20.656 -242.802 3.945 
11.126 41.339 0.332 0.07 22.178 22.057 -239.829 10.381 
11.131 41.34 0.335 0.072 21.059 20.089 -242.99 4.139 
11.198 41.341 0.386 0.073 22.495 22.203 -238.142 20.581 
11.139 41.343 0.341 0.074 22.797 22.524 -18.509 10.951 
11.151 41.344 0.35 0.075 21.096 20.612 -175.079 12.119 
11.151 41.344 0.35 0.076 23.63 21.93 -233.53 29.41 
11.144 41.344 0.345 0.075 21.748 21.438 -231.37 30.431 
11.234 41.351 0.412 0.083 18.958 18.821 -260.43 2.717 
11.144 41.353 0.345 0.085 20.67 19.706 -214.858 2.451 
11.162 41.358 0.359 0.089 21.681 21.354 -206.774 12.003 
11.178 41.358 0.37 0.09 21.891 20.398 -398.508 1.926 
11.154 41.36 0.353 0.092 22.185 21.458 -201.899 16.36 
11.165 41.373 0.361 0.105 19.109 18.907 -296.405 3.219 
11.19 41.38 0.38 0.112 20.571 20.347 -175.42 15.875 
11.18 41.38 0.372 0.112 19.944 19.414 -225.512 -599600.0 
11.202 41.387 0.389 0.119 22.115 22.016 -242.64 8.165 
11.242 41.393 0.418 0.125 21.771 21.266 -233.905 9.116 
11.256 41.402 0.429 0.134 21.569 21.198 -222.767 20.2 
11.242 41.403 0.418 0.135 22.427 21.712 -257.903 9.528 
11.279 41.414 0.446 0.146 20.692 20.518 -213.001 6.431 
11.306 41.43 0.467 0.162 18.208 17.891 -49.128 0.415 
11.323 41.431 0.479 0.163 21.487 20.573 -216.755 4.618 
11.292 41.441 0.456 0.173 22.121 22.156 -133.762 16.887 
11.339 41.443 0.491 0.175 21.946 22.098 -76.956 9.73 
11.333 41.453 0.487 0.186 22.299 22.228 -187.122 14.106 
11.31 41.455 0.469 0.188 22.752 22.708 -154.965 25.683 
11.27 41.456 0.44 0.188 22.431 22.235 -267.95 18.245 
11.27 41.458 0.439 0.19 21.131 20.96 -33.645 18.658 
11.292 41.481 0.456 0.213 21.028 20.816 -43.75 10.338 
11.146 41.364 0.346 0.096 22.311 21.878 -163.057 18.666 
11.173 41.369 0.367 0.101 20.715 20.365 -226.789 9.328 
