# RA DEC XI ETA F475W F814W V VERR
11.464 41.751 0.584 0.484 20.592 19.936 -115.833 -299800.0 
11.446 41.752 0.57 0.485 21.917 20.812 -139.025 9.269 
11.421 41.754 0.551 0.487 21.911 20.886 -149.318 8.585 
11.4 41.763 0.536 0.496 21.967 20.688 -57.618 6.333 
11.434 41.766 0.561 0.499 20.918 20.239 -9.984 6.368 
11.484 41.769 0.599 0.502 22.344 21.866 -192.467 5.763 
11.516 41.775 0.622 0.509 22.179 22.085 -253.766 7.376 
11.409 41.777 0.543 0.51 20.376 19.944 -79.843 4.261 
11.513 41.779 0.621 0.513 22.443 20.895 -185.344 7.369 
11.513 41.782 0.62 0.516 22.571 22.612 -192.392 14.556 
11.453 41.784 0.575 0.517 21.902 20.217 -129.29 3.582 
11.477 41.787 0.593 0.521 22.309 22.413 -112.401 11.875 
11.518 41.789 0.624 0.523 22.145 21.949 -112.845 2.34 
11.526 41.792 0.631 0.526 21.307 20.549 -125.94 4.229 
11.49 41.795 0.603 0.528 21.978 20.515 -154.651 10.0 
11.484 41.802 0.598 0.535 21.988 21.233 -119.093 12.646 
11.534 41.802 0.636 0.536 21.633 21.562 -155.607 15.156 
11.432 41.805 0.56 0.538 21.453 20.741 -103.117 6.517 
11.451 41.806 0.574 0.539 21.372 20.637 -150.965 8.489 
11.53 41.808 0.633 0.542 20.36 20.178 -176.687 7.783 
11.484 41.808 0.599 0.542 21.821 21.33 -195.681 10.956 
11.447 41.809 0.571 0.542 20.729 19.843 -56.026 2.627 
11.481 41.813 0.596 0.546 22.427 22.392 -173.952 -299800.0 
11.497 41.817 0.608 0.55 21.311 21.019 -141.352 7.861 
11.468 41.819 0.587 0.552 20.821 20.814 -99.404 14.353 
11.505 41.819 0.614 0.553 21.756 20.957 -130.056 16.042 
11.508 41.82 0.617 0.554 20.813 20.809 -223.476 10.62 
11.514 41.826 0.621 0.56 21.054 20.882 -133.161 24.325 
11.453 41.827 0.576 0.56 19.939 19.505 -48.088 1.638 
11.448 41.83 0.572 0.563 21.876 21.765 -131.969 14.004 
11.461 41.83 0.582 0.564 22.661 22.63 -187.449 15.087 
11.482 41.831 0.597 0.565 22.1 21.442 6.496 28.617 
11.469 41.833 0.587 0.566 19.251 18.902 -84.393 1.577 
11.516 41.836 0.623 0.569 20.077 20.066 -105.301 7.498 
11.471 41.838 0.589 0.571 21.635 21.41 -140.127 20.611 
11.481 41.839 0.596 0.572 21.407 20.297 -52.938 3.791 
11.477 41.843 0.593 0.577 21.633 20.377 -82.852 4.182 
11.496 41.845 0.607 0.579 22.673 22.614 8.269 -299800.0 
11.342 41.598 0.493 0.331 21.0 20.233 -138.145 15.035 
11.334 41.602 0.487 0.334 22.099 21.639 -100.174 13.817 
11.334 41.604 0.487 0.336 21.339 21.091 -212.414 8.677 
11.332 41.606 0.486 0.339 20.268 19.719 -118.939 4.169 
11.318 41.618 0.475 0.351 22.077 21.274 -34.295 15.326 
11.304 41.62 0.465 0.353 20.137 19.891 -118.983 16.98 
11.275 41.622 0.443 0.354 19.84 19.779 -159.968 -299800.0 
11.302 41.624 0.463 0.356 19.644 19.331 -126.542 5.618 
11.349 41.627 0.498 0.359 20.348 19.149 -145.146 1.23 
11.282 41.627 0.448 0.359 21.629 21.683 -101.353 9.614 
11.311 41.629 0.47 0.361 19.322 19.198 -149.121 3.236 
11.346 41.63 0.496 0.363 21.726 21.638 -23.484 11.963 
11.351 41.636 0.5 0.368 22.198 21.815 -135.549 15.857 
11.316 41.639 0.473 0.372 20.65 20.786 -108.006 6.303 
11.284 41.641 0.449 0.373 21.429 20.256 -218.361 4.443 
11.346 41.642 0.496 0.375 21.898 20.517 -186.71 5.544 
11.314 41.644 0.472 0.377 21.621 21.403 -103.199 5.131 
11.334 41.646 0.487 0.378 21.288 21.046 -58.608 8.471 
11.361 41.646 0.507 0.379 22.19 21.837 -44.503 42.982 
11.354 41.646 0.502 0.379 21.704 21.281 -111.798 24.356 
11.312 41.647 0.47 0.379 20.331 20.087 -117.978 -299800.0 
11.298 41.65 0.46 0.383 21.63 20.179 -157.635 5.081 
11.343 41.651 0.493 0.383 21.403 21.229 -80.888 6.741 
11.314 41.652 0.472 0.384 20.15 20.236 -157.611 14.897 
11.322 41.656 0.478 0.389 21.274 21.227 -35.185 8.023 
11.328 41.657 0.483 0.39 22.111 21.832 -54.388 6.862 
11.338 41.663 0.49 0.396 21.708 21.69 -66.504 11.217 
11.321 41.668 0.477 0.4 19.765 19.318 -95.315 1.918 
11.361 41.669 0.507 0.402 21.72 20.513 -96.552 3.607 
11.294 41.67 0.456 0.402 20.015 19.495 -134.673 3.023 
11.298 41.67 0.46 0.402 21.164 21.201 -122.699 12.652 
11.342 41.671 0.493 0.403 21.11 21.046 -0.912 18.004 
11.356 41.672 0.503 0.405 21.653 20.511 -124.394 3.525 
11.334 41.673 0.487 0.406 20.542 20.256 -67.29 4.362 
11.319 41.674 0.475 0.407 20.606 20.196 -104.196 7.138 
11.344 41.679 0.494 0.411 19.799 19.377 -108.744 1.983 
11.305 41.684 0.465 0.416 21.231 21.238 -61.567 12.229 
11.308 41.684 0.467 0.417 19.494 18.917 -137.83 1.367 
11.349 41.685 0.498 0.418 21.731 20.864 -132.365 15.063 
11.365 41.687 0.51 0.419 20.848 20.891 -25.928 10.319 
11.328 41.687 0.482 0.419 21.955 21.723 16.218 16.023 
11.353 41.687 0.501 0.419 21.619 21.036 -86.296 9.421 
11.311 41.689 0.469 0.421 22.067 21.528 -174.318 14.149 
11.323 41.692 0.478 0.424 21.362 20.371 -113.343 3.545 
11.372 41.694 0.515 0.427 22.527 21.592 -117.257 59.921 
11.328 41.695 0.483 0.427 20.547 20.107 -120.077 4.665 
11.373 41.695 0.516 0.428 19.272 18.698 -109.698 1.043 
11.333 41.696 0.486 0.429 20.958 20.46 -128.582 9.147 
11.38 41.698 0.521 0.431 21.285 20.179 -87.715 2.592 
11.332 41.699 0.486 0.431 21.751 20.536 -46.579 4.751 
11.333 41.7 0.486 0.432 21.59 20.911 -128.26 10.714 
11.352 41.7 0.5 0.433 19.827 18.807 -70.931 1.259 
11.305 41.701 0.465 0.433 21.387 20.235 -171.424 3.231 
11.376 41.701 0.518 0.434 21.846 21.503 -106.319 20.753 
11.316 41.701 0.474 0.433 21.013 20.278 -112.737 4.116 
11.332 41.701 0.485 0.434 21.47 21.398 -88.393 19.826 
11.36 41.701 0.506 0.434 21.474 20.303 -70.871 3.346 
11.332 41.706 0.485 0.438 21.969 20.36 -107.192 4.866 
11.359 41.706 0.505 0.439 21.954 21.749 -91.171 12.906 
11.362 41.708 0.508 0.441 21.91 21.301 -39.313 12.234 
11.344 41.714 0.494 0.447 19.762 19.266 -108.581 0.042 
11.322 41.717 0.478 0.449 20.5 19.901 -91.201 3.238 
11.343 41.717 0.493 0.45 22.49 22.318 -112.691 12.835 
11.367 41.719 0.512 0.451 20.481 20.068 -88.63 3.038 
11.352 41.719 0.5 0.452 21.909 20.775 -96.555 14.077 
11.374 41.721 0.517 0.454 22.037 20.497 -107.033 4.793 
11.346 41.722 0.495 0.455 21.156 20.761 -283.218 4.164 
11.357 41.722 0.504 0.455 19.786 19.058 -82.825 4.347 
11.38 41.722 0.521 0.455 21.878 20.578 -76.359 5.865 
11.356 41.724 0.503 0.456 21.152 21.123 -117.242 9.266 
11.354 41.726 0.501 0.459 21.146 20.724 -109.899 14.897 
11.369 41.728 0.513 0.461 20.918 19.291 -108.053 1.924 
11.36 41.732 0.506 0.465 22.961 22.355 -122.675 11.373 
11.368 41.74 0.512 0.473 21.013 20.444 -198.722 18.39 
11.37 41.744 0.514 0.477 22.108 20.855 -122.758 -299800.0 
11.363 41.745 0.508 0.477 22.425 22.554 -190.736 18.54 
11.378 41.748 0.519 0.48 20.831 19.148 -109.156 1.851 
11.345 41.75 0.495 0.483 21.689 21.097 -47.053 15.148 
11.36 41.752 0.506 0.485 22.123 21.816 -229.745 16.867 
11.367 41.753 0.511 0.486 21.417 19.904 -61.359 3.477 
11.334 41.754 0.487 0.486 20.978 21.103 -189.548 11.332 
11.38 41.754 0.521 0.487 19.935 19.548 -88.194 6.284 
11.356 41.761 0.503 0.494 20.594 20.089 -131.303 3.893 
11.388 41.762 0.527 0.495 21.336 21.045 -7.032 9.178 
11.401 41.773 0.537 0.506 21.856 20.461 -104.786 4.79 
11.371 41.775 0.514 0.508 21.147 19.681 -101.58 3.282 
11.36 41.776 0.506 0.508 19.811 19.225 -73.725 1.39 
11.352 41.785 0.5 0.517 21.871 20.816 -77.641 5.485 
11.405 41.785 0.54 0.518 21.499 20.662 -96.099 10.395 
11.318 41.787 0.474 0.519 22.221 20.892 -84.461 5.283 
11.375 41.789 0.517 0.522 21.945 21.343 -112.907 12.585 
11.406 41.792 0.54 0.525 22.521 22.163 -38.787 10.635 
11.411 41.804 0.544 0.537 19.988 18.949 -64.949 1.173 
11.342 41.806 0.492 0.538 21.949 20.252 -84.183 4.283 
11.417 41.807 0.549 0.54 22.727 22.213 -108.03 20.474 
11.412 41.824 0.545 0.557 22.125 21.916 -125.061 16.576 
11.408 41.833 0.542 0.566 21.809 21.624 -86.106 13.664 
11.332 41.839 0.485 0.571 19.886 19.836 -28.127 4.561 
11.388 41.844 0.526 0.577 21.382 21.187 -58.772 10.403 
11.363 41.847 0.508 0.58 21.534 20.15 -73.451 2.999 
11.342 41.848 0.492 0.58 20.555 20.519 -29.106 9.572 
11.398 41.849 0.534 0.582 21.313 20.312 -40.041 5.343 
11.353 41.85 0.5 0.583 21.982 21.408 8.217 7.364 
11.415 41.862 0.547 0.595 20.536 19.52 -63.747 3.236 
11.124 41.37 0.33 0.102 21.872 21.851 -223.352 15.542 
10.922 41.377 0.178 0.108 22.029 20.501 -210.485 5.405 
10.913 41.382 0.171 0.113 20.86 20.527 -180.628 10.12 
10.994 41.383 0.232 0.114 21.65 20.234 -114.84 7.99 
11.168 41.383 0.363 0.115 21.127 20.05 -214.24 7.288 
10.944 41.384 0.195 0.115 20.564 20.65 -159.441 8.84 
11.111 41.384 0.32 0.115 19.512 19.205 -241.547 4.675 
10.914 41.385 0.172 0.116 20.927 20.79 -140.99 18.866 
11.095 41.386 0.308 0.117 21.36 19.976 -241.034 2.405 
10.889 41.387 0.154 0.118 21.086 20.796 -100.831 6.637 
10.942 41.389 0.194 0.12 21.403 21.213 -138.642 7.72 
11.116 41.39 0.324 0.122 20.108 20.191 -244.028 -299800.0 
11.135 41.391 0.338 0.122 21.22 20.323 -347.897 8.487 
11.188 41.392 0.378 0.124 21.828 21.506 -294.127 32.373 
10.933 41.392 0.187 0.123 21.17 20.78 -140.163 13.412 
10.929 41.394 0.184 0.124 21.853 21.935 -76.03 8.939 
10.962 41.394 0.209 0.125 21.65 20.841 -160.417 5.515 
11.195 41.395 0.383 0.127 21.928 21.665 -326.146 6.203 
11.009 41.395 0.243 0.126 20.866 19.747 31.607 3.816 
10.99 41.395 0.229 0.126 21.093 20.515 -295.107 4.216 
11.072 41.396 0.291 0.127 20.865 20.091 -53.34 8.937 
11.097 41.397 0.309 0.128 22.087 21.317 -309.719 8.561 
10.866 41.397 0.137 0.128 20.737 20.252 -215.238 4.914 
11.104 41.398 0.315 0.129 21.026 21.056 -274.244 14.06 
10.987 41.398 0.227 0.129 21.668 20.955 -193.699 7.739 
10.894 41.4 0.157 0.131 17.938 17.658 -84.174 1.085 
10.863 41.401 0.134 0.132 21.538 20.648 23.515 15.129 
10.901 41.401 0.163 0.132 21.221 21.032 -90.229 24.059 
10.902 41.401 0.163 0.132 22.732 21.92 -67.177 36.31 
10.97 41.401 0.214 0.132 22.104 21.427 -215.791 11.238 
10.926 41.402 0.182 0.133 20.966 20.438 -77.497 5.812 
11.143 41.402 0.344 0.133 20.622 20.687 -227.874 9.689 
11.132 41.403 0.336 0.135 20.642 19.148 -217.879 1.724 
10.905 41.403 0.166 0.134 20.162 20.122 -238.937 9.763 
11.1 41.404 0.312 0.135 20.092 19.735 -298.642 5.927 
10.929 41.404 0.184 0.135 21.57 21.445 -260.783 12.856 
11.061 41.407 0.283 0.138 21.249 19.782 -54.058 2.669 
11.147 41.408 0.347 0.139 20.585 20.323 -174.361 9.86 
11.201 41.408 0.388 0.14 20.781 19.97 -211.386 3.203 
11.183 41.409 0.374 0.141 22.083 21.447 -204.227 35.954 
10.978 41.409 0.22 0.14 21.106 21.299 -175.321 -299800.0 
10.958 41.41 0.205 0.141 20.674 20.913 -260.29 28.193 
11.144 41.41 0.345 0.142 21.659 20.743 -214.978 -299800.0 
10.962 41.411 0.208 0.142 20.671 20.659 -194.651 6.487 
11.124 41.412 0.33 0.143 20.762 20.798 -250.057 -299800.0 
11.106 41.412 0.317 0.144 20.358 19.774 -210.346 8.657 
10.872 41.412 0.141 0.143 21.409 19.988 -27.302 4.215 
10.934 41.413 0.187 0.144 20.634 20.457 -101.349 10.413 
10.972 41.413 0.216 0.144 18.839 18.894 -152.156 3.288 
11.214 41.413 0.397 0.145 21.855 21.544 -267.098 36.838 
11.196 41.414 0.384 0.146 21.227 20.992 -190.319 16.392 
10.994 41.418 0.232 0.149 20.568 20.135 -144.054 3.667 
11.157 41.418 0.355 0.15 20.877 20.9 -193.656 6.466 
10.902 41.418 0.163 0.149 20.911 20.024 -82.74 7.169 
10.888 41.419 0.152 0.15 19.085 18.745 -86.015 1.526 
10.983 41.419 0.224 0.15 20.238 19.145 -159.032 1.259 
10.937 41.42 0.19 0.151 20.061 18.921 -77.992 1.109 
10.941 41.422 0.193 0.153 21.848 20.531 -224.52 3.839 
11.144 41.425 0.345 0.156 19.746 19.285 -186.477 0.569 
11.17 41.425 0.365 0.157 21.266 19.716 -220.222 3.063 
11.078 41.426 0.296 0.157 20.207 20.381 -166.292 -299800.0 
10.915 41.427 0.173 0.158 20.422 19.489 -119.617 5.044 
11.166 41.43 0.361 0.162 19.615 19.284 -188.166 4.648 
11.074 41.431 0.293 0.162 20.944 20.166 -214.234 7.492 
10.92 41.431 0.177 0.162 21.638 21.204 -352.973 12.893 
11.164 41.433 0.36 0.165 20.667 20.87 -231.392 -299800.0 
10.99 41.435 0.229 0.166 20.779 20.915 -316.709 7.455 
11.216 41.436 0.399 0.168 21.776 21.243 -238.29 9.269 
11.15 41.437 0.349 0.169 21.978 21.468 -243.728 4.334 
11.056 41.437 0.279 0.169 21.024 20.752 -56.656 14.269 
11.011 41.437 0.245 0.169 22.445 21.46 -56.933 12.257 
11.181 41.438 0.372 0.17 20.212 20.264 -160.48 4.356 
11.086 41.44 0.301 0.171 21.377 20.959 -265.121 11.178 
11.093 41.442 0.306 0.174 22.549 22.411 -99.147 19.514 
11.208 41.442 0.393 0.174 21.336 20.34 -177.786 4.976 
11.222 41.443 0.403 0.175 20.087 19.616 -211.269 3.528 
11.151 41.444 0.35 0.176 20.251 19.514 -203.967 2.265 
11.219 41.444 0.401 0.176 22.384 22.051 -302.922 16.875 
11.223 41.446 0.404 0.178 20.259 19.425 -221.472 6.259 
11.159 41.446 0.356 0.177 20.206 19.868 -187.577 5.115 
11.208 41.446 0.393 0.178 20.263 19.032 -204.536 1.562 
11.171 41.447 0.365 0.179 20.989 19.982 -197.33 5.904 
11.2 41.449 0.387 0.181 21.111 20.296 -171.391 6.27 
11.198 41.452 0.385 0.184 20.288 20.406 -126.486 25.343 
11.216 41.452 0.399 0.184 22.678 21.176 -184.841 10.224 
11.091 41.57 0.305 0.301 22.279 22.073 -86.396 23.436 
11.103 41.591 0.314 0.323 20.226 20.112 -101.812 10.552 
11.114 41.592 0.322 0.324 22.184 21.973 49.696 7.979 
11.189 41.592 0.378 0.324 15.6 15.206 -77.67 0.718 
11.09 41.593 0.304 0.325 20.812 20.385 -61.372 6.523 
11.104 41.594 0.315 0.326 20.948 20.984 -182.951 12.734 
11.126 41.596 0.331 0.328 21.749 21.773 -56.519 16.426 
11.106 41.597 0.316 0.329 21.724 21.338 -128.466 18.733 
11.118 41.598 0.325 0.33 21.333 21.296 -109.896 14.496 
11.18 41.601 0.371 0.333 21.706 21.478 -91.313 12.692 
11.182 41.604 0.373 0.336 22.312 21.249 -123.543 19.094 
11.049 41.605 0.273 0.336 22.41 21.398 -58.651 12.863 
11.129 41.605 0.333 0.336 21.108 20.617 -69.757 -299800.0 
11.189 41.607 0.378 0.339 20.153 19.544 -106.421 2.266 
10.98 41.607 0.222 0.338 20.447 19.421 -133.334 -299800.0 
11.119 41.609 0.326 0.34 21.701 20.283 -24.55 4.827 
11.134 41.61 0.337 0.342 20.388 20.174 -38.625 5.802 
10.992 41.61 0.23 0.342 21.888 21.779 -129.38 12.68 
11.129 41.613 0.333 0.345 21.389 19.722 -75.402 1.956 
11.093 41.614 0.306 0.345 21.412 21.28 -111.869 -299800.0 
11.164 41.614 0.359 0.346 22.605 21.807 -73.984 18.535 
11.117 41.615 0.324 0.346 20.926 20.541 -37.988 6.427 
11.141 41.615 0.342 0.347 19.934 18.742 -38.962 1.45 
11.114 41.616 0.322 0.348 21.451 21.375 -138.522 14.578 
11.172 41.617 0.365 0.349 21.594 20.07 -65.345 -299800.0 
11.146 41.618 0.346 0.349 21.248 21.089 -92.658 23.196 
11.11 41.618 0.319 0.35 20.998 20.88 -106.418 11.856 
10.977 41.62 0.219 0.351 21.249 21.407 -130.243 23.719 
11.276 41.62 0.443 0.353 22.562 22.062 1.573 -299800.0 
11.307 41.62 0.467 0.353 20.743 20.216 -112.08 9.176 
11.204 41.621 0.39 0.353 22.019 22.06 -44.39 9.224 
11.155 41.621 0.353 0.353 20.941 20.95 -37.995 -299800.0 
11.27 41.624 0.439 0.356 18.93 19.035 -127.853 6.412 
11.271 41.624 0.439 0.356 18.427 18.336 -61.668 5.224 
11.075 41.624 0.292 0.356 20.714 20.303 -44.721 5.57 
10.984 41.624 0.224 0.356 21.102 20.694 -172.43 9.849 
11.332 41.625 0.486 0.357 21.982 21.415 -146.612 22.064 
11.169 41.625 0.363 0.357 22.71 22.689 -58.483 7.95 
11.273 41.626 0.442 0.358 17.781 17.641 -123.831 2.478 
11.138 41.626 0.34 0.358 21.12 19.548 -61.8 2.033 
11.31 41.626 0.469 0.359 19.721 19.516 -65.779 15.484 
11.286 41.626 0.451 0.359 21.591 20.739 -121.468 19.345 
11.267 41.628 0.437 0.36 20.704 20.82 -146.465 21.112 
11.336 41.628 0.489 0.36 21.528 21.189 -107.066 11.213 
11.001 41.628 0.237 0.359 20.353 20.495 -249.137 13.22 
11.256 41.63 0.429 0.362 20.433 19.761 -158.593 2.521 
11.002 41.631 0.238 0.362 21.163 20.842 -61.722 12.751 
11.282 41.631 0.448 0.364 21.308 21.257 -58.819 7.925 
11.181 41.631 0.372 0.363 21.947 21.484 -99.65 11.741 
11.231 41.632 0.41 0.364 23.468 21.755 -138.463 9.436 
10.999 41.632 0.236 0.363 21.078 20.912 13.526 26.748 
11.007 41.632 0.242 0.363 22.549 20.943 -104.463 9.888 
11.313 41.632 0.471 0.365 21.671 21.547 -123.21 11.727 
11.163 41.633 0.359 0.364 21.955 22.028 95.231 35.646 
10.979 41.633 0.221 0.364 20.01 19.615 -127.221 4.463 
11.101 41.634 0.312 0.366 22.697 22.477 -46.069 27.683 
11.275 41.635 0.443 0.367 22.569 22.395 -143.255 15.978 
11.302 41.635 0.463 0.367 21.951 20.953 -59.83 17.476 
11.318 41.636 0.475 0.368 21.318 21.365 -230.351 22.792 
11.245 41.636 0.42 0.368 22.012 21.545 -193.228 15.282 
11.297 41.636 0.459 0.369 21.457 20.803 -63.388 9.647 
11.028 41.636 0.258 0.368 21.492 21.318 -122.593 12.518 
11.326 41.636 0.481 0.369 21.857 20.569 -102.691 15.029 
11.024 41.637 0.254 0.368 21.1 19.713 -113.356 2.297 
11.32 41.638 0.476 0.37 21.476 20.639 -121.26 12.819 
11.317 41.638 0.474 0.371 21.44 21.452 -76.819 30.643 
11.15 41.638 0.349 0.37 20.388 19.239 -87.312 1.364 
11.307 41.639 0.466 0.371 20.061 19.773 -98.033 8.309 
11.11 41.639 0.319 0.37 21.869 20.216 -81.59 8.115 
11.321 41.64 0.477 0.373 20.217 19.726 -79.998 3.51 
11.31 41.642 0.469 0.375 21.257 21.358 -117.242 14.61 
11.194 41.643 0.382 0.375 19.148 18.801 -121.838 2.216 
11.188 41.645 0.378 0.377 22.425 22.321 -84.153 6.222 
11.298 41.648 0.46 0.38 22.066 21.937 -52.344 25.896 
11.282 41.649 0.448 0.381 20.57 20.739 -176.399 7.431 
11.321 41.65 0.477 0.382 17.757 16.802 -55.534 0.845 
11.328 41.65 0.482 0.383 20.497 19.715 -70.435 5.409 
11.275 41.653 0.443 0.385 22.576 21.705 -174.114 19.426 
11.29 41.654 0.454 0.386 22.329 21.128 -83.76 8.492 
11.326 41.656 0.481 0.388 20.889 20.484 -123.579 4.229 
11.336 41.657 0.488 0.389 22.661 22.336 -215.253 8.906 
11.595 41.916 0.681 0.65 22.345 22.002 -47.224 27.917 
11.588 41.921 0.676 0.655 22.553 21.194 -5.146 7.988 
11.611 41.922 0.693 0.657 22.324 22.177 -96.04 6.831 
11.499 41.954 0.609 0.688 22.613 22.645 -88.595 15.512 
11.575 41.958 0.666 0.692 22.559 22.582 -15.638 46.57 
11.578 41.965 0.669 0.699 19.844 20.046 -91.009 5.202 
11.489 41.968 0.602 0.702 22.61 21.531 -60.841 12.044 
11.492 41.976 0.604 0.709 21.438 21.299 -82.121 10.501 
11.52 41.99 0.625 0.724 21.257 21.428 -68.083 21.039 
11.578 41.99 0.668 0.724 22.193 21.961 -71.19 14.235 
11.566 41.995 0.659 0.729 20.879 20.28 -49.072 3.231 
11.518 42.003 0.623 0.736 22.784 21.343 -1.233 11.238 
11.518 42.003 0.623 0.737 20.354 19.636 38.545 2.016 
11.567 42.005 0.66 0.739 20.49 19.878 -26.52 3.614 
11.566 42.006 0.659 0.74 22.401 22.243 -93.083 28.291 
11.516 42.013 0.621 0.747 22.728 22.805 -150.586 26.468 
11.555 42.014 0.651 0.749 22.634 22.62 -34.296 21.49 
11.543 42.018 0.642 0.751 22.931 22.683 -58.817 15.514 
11.559 42.024 0.654 0.758 21.1 20.956 -30.114 -299800.0 
11.547 42.024 0.645 0.758 22.078 22.157 -58.975 32.097 
11.561 42.027 0.655 0.761 22.844 22.609 -59.31 32.809 
11.547 42.028 0.645 0.762 17.918 17.221 -86.977 -599600.0 
11.487 42.029 0.6 0.762 22.474 22.452 -63.147 -299800.0 
11.509 42.05 0.617 0.784 22.281 21.219 4.058 10.596 
11.515 42.061 0.621 0.795 22.453 20.956 -108.554 5.537 
11.44 42.081 0.565 0.814 22.641 21.694 -53.862 17.33 
11.461 42.09 0.58 0.823 22.238 21.02 -21.487 6.78 
11.512 42.093 0.618 0.827 20.684 19.763 -18.11 2.576 
11.439 42.097 0.564 0.83 20.905 19.74 -139.009 3.541 
11.472 42.145 0.588 0.878 22.937 21.531 -104.149 14.513 
11.435 42.15 0.561 0.883 21.259 19.594 -51.607 4.473 
11.472 42.162 0.588 0.896 21.919 21.905 -114.834 14.782 
11.466 42.166 0.584 0.9 21.977 21.356 -60.78 16.183 
11.463 42.17 0.582 0.903 22.558 22.276 4.33 14.36 
11.47 42.171 0.586 0.904 20.699 20.591 -76.968 9.535 
11.158 41.42 0.356 0.152 20.631 19.674 -229.387 9.571 
11.153 41.422 0.352 0.154 20.852 20.824 -195.568 6.996 
11.168 41.429 0.363 0.161 21.532 20.195 -231.595 3.679 
11.185 41.43 0.375 0.162 21.149 21.021 -200.805 19.002 
11.18 41.435 0.372 0.166 20.741 19.916 -197.996 7.205 
11.181 41.436 0.373 0.168 19.981 20.013 -221.119 7.234 
11.206 41.438 0.392 0.17 21.552 21.642 -152.376 27.339 
11.182 41.44 0.374 0.172 19.13 19.241 -135.434 11.512 
11.188 41.443 0.378 0.175 21.311 20.784 -195.419 9.227 
11.202 41.443 0.388 0.175 21.579 20.637 -143.825 5.875 
11.159 41.444 0.356 0.176 20.265 19.899 -238.656 8.853 
11.199 41.447 0.386 0.179 20.502 20.017 -195.129 6.058 
11.158 41.447 0.356 0.179 21.23 20.737 -176.613 10.198 
11.136 41.448 0.339 0.18 21.779 20.93 -140.346 11.622 
11.192 41.45 0.381 0.181 22.248 21.215 -154.831 11.614 
11.144 41.452 0.345 0.183 20.471 20.114 -256.512 19.189 
11.158 41.452 0.356 0.184 20.412 19.347 -196.966 2.32 
11.183 41.453 0.374 0.185 20.288 19.618 -209.519 3.404 
11.191 41.454 0.38 0.186 22.016 21.355 -183.677 21.007 
11.185 41.456 0.376 0.188 20.476 19.837 -158.036 3.693 
11.172 41.461 0.365 0.193 21.916 21.734 -174.712 -299800.0 
11.187 41.461 0.377 0.193 22.561 22.433 -159.014 14.407 
11.14 41.464 0.342 0.195 22.407 21.186 -261.248 17.238 
11.176 41.469 0.369 0.201 19.688 19.128 -181.769 2.1 
11.197 41.47 0.384 0.202 20.491 20.168 -156.458 14.825 
11.199 41.474 0.386 0.206 21.184 21.01 -45.444 19.154 
11.161 41.475 0.358 0.207 19.676 18.529 -200.287 1.368 
11.192 41.476 0.381 0.208 21.009 20.792 -163.947 14.872 
11.16 41.477 0.357 0.209 18.969 18.102 -180.38 0.533 
11.124 41.48 0.33 0.212 21.007 20.349 -165.221 5.147 
11.203 41.488 0.389 0.219 20.316 19.022 -197.09 1.391 
11.171 41.489 0.365 0.221 21.18 21.276 -185.252 13.203 
11.206 41.493 0.392 0.224 20.066 19.751 -165.048 4.757 
11.205 41.494 0.39 0.226 20.383 20.34 -133.044 8.03 
11.167 41.495 0.362 0.227 22.134 22.218 -75.638 -299800.0 
11.157 41.496 0.355 0.228 20.511 20.434 -160.759 16.484 
11.171 41.497 0.365 0.229 21.571 21.124 -204.848 -299800.0 
11.205 41.501 0.39 0.233 21.671 21.611 -180.052 12.533 
11.161 41.504 0.358 0.235 20.829 20.316 -176.267 16.219 
11.179 41.505 0.371 0.237 22.932 22.926 -161.483 11.266 
11.195 41.508 0.383 0.24 20.717 20.484 -155.401 -299800.0 
11.153 41.508 0.352 0.24 21.371 21.009 -192.835 11.364 
11.183 41.512 0.374 0.244 20.136 19.388 -225.454 2.382 
11.164 41.517 0.359 0.249 20.006 19.186 -168.617 1.656 
11.162 41.521 0.358 0.252 21.051 20.582 -189.554 15.186 
11.124 41.523 0.33 0.255 22.45 20.961 -27.069 32.865 
11.191 41.524 0.38 0.255 21.532 21.257 -169.608 25.183 
11.158 41.527 0.355 0.258 21.99 21.747 -193.194 21.843 
11.144 41.53 0.345 0.262 22.11 21.814 -166.461 23.6 
11.14 41.533 0.342 0.265 20.865 20.493 -186.494 5.896 
11.128 41.534 0.333 0.265 21.145 20.459 -287.621 15.111 
11.127 41.549 0.332 0.28 22.781 22.721 -2.012 12.008 
11.152 41.551 0.351 0.283 22.234 21.836 6.788 7.949 
11.169 41.557 0.363 0.289 22.95 22.891 -166.039 -299800.0 
11.105 41.564 0.315 0.295 21.202 19.899 -96.227 3.748 
11.154 41.569 0.352 0.3 22.519 22.526 -150.782 44.831 
11.074 41.569 0.292 0.3 19.44 19.455 -152.061 13.153 
11.118 41.569 0.325 0.301 22.17 20.757 -116.84 11.407 
11.112 41.571 0.32 0.302 19.443 18.689 -33.502 1.093 
11.173 41.572 0.367 0.303 21.471 20.998 -175.757 13.005 
11.097 41.583 0.31 0.315 21.451 21.09 -153.696 13.464 
11.097 41.585 0.309 0.317 22.411 22.094 -37.58 5.808 
11.097 41.585 0.309 0.317 22.411 22.094 -40.385 5.574 
11.134 41.604 0.337 0.335 19.347 19.121 -43.534 2.955 
11.065 41.604 0.285 0.335 20.655 19.769 -69.201 2.912 
11.127 41.605 0.332 0.337 22.468 21.065 -99.932 11.855 
11.152 41.611 0.351 0.342 21.087 21.039 -208.373 19.569 
